artist_id,observed_at,tracker_count,upcoming_event_count
15390659,2026-09-16T01:24:47.494782+00:00,672,4
15514234,2026-09-16T01:24:48.513656+00:00,7772,7
12760751,2026-09-16T01:24:49.645882+00:00,141058,6
2062,2026-09-16T01:24:50.879477+00:00,37710,3
2883392,2026-09-16T01:24:52.077165+00:00,11109,1
13058776,2026-09-16T01:24:53.061256+00:00,54492,20
8683870,2026-09-16T01:24:54.281021+00:00,11633,2
15497083,2026-09-16T01:24:55.577418+00:00,13116,4
12141718,2026-09-16T01:24:56.813782+00:00,3465,11
40828,2026-09-16T01:24:57.656973+00:00,28853,2
132966,2026-09-16T01:24:58.851036+00:00,104832,14
15570865,2026-09-16T01:25:00.096859+00:00,723,4
15604306,2026-09-16T01:25:01.193659+00:00,278,2
15554218,2026-09-16T01:25:02.545625+00:00,8983,13
15590290,2026-09-16T01:25:03.720176+00:00,733,1
15559410,2026-09-16T01:25:05.005517+00:00,8821,32
1523397,2026-09-16T01:25:05.973942+00:00,246,1
15569355,2026-09-16T01:25:07.148033+00:00,156,1
15631081,2026-09-16T01:25:08.111736+00:00,86,2
11109133,2026-09-16T01:25:09.351642+00:00,125,0
1294386,2026-09-16T01:25:10.357375+00:00,495,1
15649434,2026-09-16T01:25:11.732112+00:00,45,1
358100,2026-09-16T01:25:12.827351+00:00,918,68
3708,2026-09-16T01:25:13.841402+00:00,1654608,5
15664610,2026-09-16T01:25:14.829205+00:00,0,0
15664610,2026-09-16T00:56:03.844013+00:00,0,0
15390659,2026-09-16T01:14:18.337756+00:00,672,4
15514234,2026-09-16T01:14:19.384780+00:00,7772,7
12760751,2026-09-16T01:14:20.548846+00:00,141058,6
2062,2026-09-16T01:14:21.822738+00:00,37710,3
2883392,2026-09-16T01:14:22.883917+00:00,11109,1
13058776,2026-09-16T01:14:24.104450+00:00,54492,20
8683870,2026-09-16T01:14:25.327001+00:00,11633,2
15497083,2026-09-16T01:14:26.202218+00:00,13116,4
12141718,2026-09-16T01:14:27.382671+00:00,3465,11
40828,2026-09-16T01:14:28.661239+00:00,28853,2
132966,2026-09-16T01:14:29.871971+00:00,104832,14
15570865,2026-09-16T01:14:31.231897+00:00,723,4
15604306,2026-09-16T01:14:32.063400+00:00,278,2
15554218,2026-09-16T01:14:33.367781+00:00,8983,13
15590290,2026-09-16T01:14:34.434985+00:00,733,1
15559410,2026-09-16T01:14:35.639983+00:00,8821,32
1523397,2026-09-16T01:14:36.901873+00:00,246,1
15569355,2026-09-16T01:14:38.101035+00:00,156,1
15631081,2026-09-16T01:14:39.307521+00:00,86,2
11109133,2026-09-16T01:14:40.409818+00:00,125,0
1294386,2026-09-16T01:14:41.568557+00:00,495,1
15649434,2026-09-16T01:14:42.827914+00:00,45,1
358100,2026-09-16T01:14:43.793325+00:00,918,68
3708,2026-09-16T01:14:45.082517+00:00,1654608,5
15664610,2026-09-16T01:14:45.975348+00:00,0,0
15390659,2026-09-16T01:18:24.227022+00:00,672,4
15514234,2026-09-16T01:18:25.290006+00:00,7772,7
12760751,2026-09-16T01:18:26.609642+00:00,141058,6
2062,2026-09-16T01:18:27.642642+00:00,37710,3
2883392,2026-09-16T01:18:28.951138+00:00,11109,1
13058776,2026-09-16T01:18:29.875195+00:00,54492,20
8683870,2026-09-16T01:18:31.065795+00:00,11633,2
15497083,2026-09-16T01:18:32.316426+00:00,13116,4
12141718,2026-09-16T01:18:33.501278+00:00,3465,11
40828,2026-09-16T01:18:34.757077+00:00,28853,2
132966,2026-09-16T01:18:35.979810+00:00,104832,14
15570865,2026-09-16T01:18:36.946373+00:00,723,4
15604306,2026-09-16T01:18:38.263662+00:00,278,2
15554218,2026-09-16T01:18:39.342318+00:00,8983,13
15590290,2026-09-16T01:18:40.488295+00:00,733,1
