attraction_id,name,url,segment_id,segment_name,genre_id,genre_name,subgenre_id,subgenre_name,upcoming_events,image_url,first_seen_at,last_seen_at
K8vZ917f2N7,$UICIDEBOY$,https://www.ticketmaster.com/uicideboy-tickets/artist/2194218,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap,22,https://s1.ticketm.net/dam/a/ea8/fe1025a1-d118-4c3f-b53a-29810fd0bea8_TABLET_LANDSCAPE_16_9.jpg,2026-09-17T20:02:17.499935+00:00,2026-09-20T22:44:00.359625+00:00
K8vZpau5-e,1 Umbrella,https://www.ticketmaster.com/1-umbrella-tickets/artist/4579699,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap,3,https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_ARTIST_PAGE_3_2.jpg,2026-09-17T20:02:20.370215+00:00,2026-09-20T22:44:03.417698+00:00
K8vZ917hZD7,156/Silence,https://www.ticketmaster.com/156silence-tickets/artist/2961049,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvt,Metal,KZazBEonSMnZfZ7vkFd,Heavy Metal,14,https://s1.ticketm.net/dam/a/e81/34b8158c-0381-4434-bbfd-e7fe1b1c5e81_RETINA_PORTRAIT_16_9.jpg,2026-09-17T20:02:17.975980+00:00,2026-09-20T22:44:00.359625+00:00
K8vZ917Lzt7,24babik,https://www.ticketmaster.com/24babik-tickets/artist/4363419,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap,1,https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_RETINA_LANDSCAPE_16_9.jpg,2026-09-17T20:02:17.975980+00:00,2026-09-20T22:44:00.359625+00:00
K8vZ9171GyV,311,https://www.ticketmaster.com/311-tickets/artist/759806,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop,5,https://s1.ticketm.net/dam/a/0d2/e1ba75ce-3ded-4010-85cb-85975ade30d2_RETINA_PORTRAIT_3_2.jpg,2026-09-17T20:02:20.370215+00:00,2026-09-20T22:44:03.417698+00:00
K8vZ9171Gy0,38 Special,https://www.ticketmaster.com/38-special-tickets/artist/767057,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop,18,https://s1.ticketm.net/dam/a/16e/d6a56599-2b84-4f5d-a702-bf5e522b816e_ARTIST_PAGE_3_2.jpg,2026-09-17T20:02:17.499935+00:00,2026-09-17T22:38:16.765581+00:00
K8vZ917_EBV,49 Winchester,https://www.ticketmaster.com/49-winchester-tickets/artist/2822691,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv6,Country,KZazBEonSMnZfZ7vAFa,Country,12,https://s1.ticketm.net/dam/a/ec8/ab9217fe-241e-48e1-99ec-ea02f8969ec8_TABLET_LANDSCAPE_3_2.jpg,2026-09-17T20:02:18.739078+00:00,2026-09-20T22:44:01.382965+00:00
K8vZ9174IH0,6LACK,https://www.ticketmaster.com/6lack-tickets/artist/2313062,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAv1,Hip-Hop/Rap,KZazBEonSMnZfZ7vkvl,Hip-Hop/Rap,32,https://s1.ticketm.net/dam/a/943/7c89470e-2cbf-4bac-b014-d5fdf8f29943_TABLET_LANDSCAPE_16_9.jpg,2026-09-17T20:02:20.370215+00:00,2026-09-20T22:44:03.417698+00:00
K8vZ917_sn7,8 Graves,https://www.ticketmaster.com/8-graves-tickets/artist/2834114,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop,3,https://s1.ticketm.net/dam/c/fbc/b293c0ad-c904-4215-bc59-8d7f2414dfbc_106141_EVENT_DETAIL_PAGE_16_9.jpg,2026-09-17T20:02:19.435167+00:00,2026-09-20T22:44:02.205267+00:00
K8vZ917ujRV,A John Waters Christmas,https://www.ticketmaster.com/a-john-waters-christmas-tickets/artist/1087407,KZFzniwnSyZfZ7v7na,Arts & Theatre,KnvZfZ7vAe1,Comedy,KZazBEonSMnZfZ7vF17,Comedy,9,https://s1.ticketm.net/dam/a/c6a/605ad60e-ac67-4366-8424-b9cb6fe24c6a_1096281_TABLET_LANDSCAPE_LARGE_16_9.jpg,2026-09-17T20:02:23.393825+00:00,2026-09-20T22:44:04.466759+00:00
K8vZ917CTaf,A Lot Like Birds,https://www.ticketmaster.com/a-lot-like-birds-tickets/artist/1644203,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop,8,https://s1.ticketm.net/dam/a/c6c/8fbc2c1f-e621-40ad-b3c1-a01a8441ec6c_SOURCE,2026-09-17T20:02:17.499935+00:00,2026-09-20T22:44:00.359625+00:00
K8vZ917_aZf,A Taste of Ireland,https://www.ticketmaster.com/a-taste-of-ireland-tickets/artist/2640777,KZFzniwnSyZfZ7v7na,Arts & Theatre,KnvZfZ7v7le,Miscellaneous,KZazBEonSMnZfZ7vF1k,Miscellaneous,9,https://s1.ticketm.net/dam/a/306/de79db81-8530-490c-b580-b4b57bf36306_RETINA_PORTRAIT_3_2.jpg,2026-09-17T20:02:20.773471+00:00,2026-09-20T22:44:03.900761+00:00
K8vZ917rmt7,ADÉLA,https://www.ticketmaster.com/adela-tickets/artist/4002524,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAev,Pop,KZazBEonSMnZfZ7vk1t,Pop,27,https://s1.ticketm.net/dam/a/e6b/132de64e-984e-4eea-934a-f8360ecd4e6b_RETINA_PORTRAIT_16_9.jpg,2026-09-17T20:02:18.739078+00:00,2026-09-20T22:44:01.382965+00:00
K8vZ917f1-0,AJ McLean,https://www.ticketmaster.com/aj-mclean-tickets/artist/2190278,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAeA,Rock,KZazBEonSMnZfZ7v6F1,Pop,24,https://s1.ticketm.net/dam/a/e95/39e9ea4d-b371-45fe-b402-ebdcad899e95_SOURCE,2026-09-17T20:02:23.393825+00:00,2026-09-20T22:44:04.466759+00:00
K8vZ917C1u7,ALASKA,https://www.ticketmaster.com/alaska-tickets/artist/902198,KZFzniwnSyZfZ7v7nJ,Music,KnvZfZ7vAvF,Dance/Electronic,KZazBEonSMnZfZ7vAJ1,Club Dance,33,https://s1.ticketm.net/dam/a/f03/a73e9090-1d3d-4652-bd2a-dab195c0cf03_RETINA_PORTRAIT_3_2.jpg,2026-09-17T20:02:24.505358+00:00,2026-09-20T22:44:05.657178+00:00
