event_id,attraction_id,position
G5vzZ_2XrhjsN,K8vZ917pOX0,0
G5vzZ_2XrhjsN,K8vZ917qkb7,1
Z7r9jZ1A7q3uJ,K8vZ917GEfV,0
G5vzZ_ajd-Wwq,K8vZ9174Mx0,0
G5vzZ_o1_qy5p,K8vZ917bx2V,0
G5vzZ_o1_qy5p,K8vZ9174Mx0,1
Z7r9jZ1A7-bGS,K8vZ91714j7,0
Z7r9jZ1A7-bGS,Z7r9jZab3y,1
Z7r9jZ1A7J4uJ,K8vZ9175n_V,0
Z7r9jZ1A7J4uJ,K8vZ9175W37,1
Z7r9jZ1A7J4uJ,K8vZ917GJKf,2
Z7r9jZ1A7Pw4P,K8vZ917fqnV,0
Z7r9jZ1AAZw_0,K8vZ9171Q67,0
Z7r9jZ1AAZw_0,Z7r9jZ177K3v,1
G5vzZ_eBF3P-E,K8vZ917fxh0,0
G5vzZ_eBF3P-E,K8vZ917pNP0,1
G5vzZ_eBF3P-E,K8vZ91711Yf,2
G5vzZ_eBF3P-E,K8vZ9171f6V,3
G5vzZ_eBF3P-E,K8vZ917oqmf,4
G5vzZ_eBF3P-E,K8vZ91792mV,5
G5vzZ_eBF3P-E,K8vZ917oK20,6
G5vzZ_eBF3P-E,K8vZ9178Ucf,7
G5vzZ_eBF3P-E,K8vZ9172VO7,8
G5vzZ_eBF3P-E,K8vZ91718uV,9
G5vzZ_eBF3P-E,K8vZ917baSV,10
G5vzZ_eBF3P-E,K8vZ91714j7,11
G5vzZ_eBF3P-E,K8vZ917hZ20,12
G5vzZ_eBF3P-E,K8vZ9175dFV,13
G5vzZ_eBF3P-E,K8vZ917o1J0,14
G5vzZ_eBF3P-E,K8vZ917_Se7,15
G5vzZ_eBF3P-E,K8vZ917hzF7,16
G5vzZ_eBF3P-E,K8vZ917h2P7,17
G5vzZ_eBF3P-E,K8vZ917318f,18
G5vzZ_eBF3P-E,K8vZ917GXW0,19
G5vzZ_eBF3P-E,K8vZ917jjyV,20
G5vzZ_eBF3P-E,K8vZ917hyCf,21
G5vzZ_eBF3P-E,K8vZ9174hj7,22
G5vzZ_unyOJeF,K8vZ9172gvf,0
G5vzZ_unyOJeF,K8vZ917OVZ7,1
G5vzZ_unyOJeF,K8vZ917Q-Kf,2
Z7r9jZ1A7PkFf,K8vZ917GYsf,0
Z7r9jZ1A7PkFf,K8vZ917oBZ7,1
G5vzZ_6R2OX7y,K8vZ9174G2V,0
G5vzZ_apbcp_b,K8vZ9174G2V,0
G5vzZ_apbcp_b,K8vZ917b-Of,1
Z7r9jZ1A709O7,K8vZ9171287,0
Z7r9jZ1A709O7,K8vZ9171Gy0,1
Z7r9jZ1A7JfOp,K8vZ917GEfV,0
Z7r9jZ1AAZ0ae,K8vZ9175gW7,0
Z7r9jZ1AAZ0ae,K8vZ917Kmwf,1
G5vzZ_6JR8axI,K8vZ9175BJV,0
Z7r9jZ1A7-U7o,K8vZ9175BJV,0
G5vzZ_26zrFBp,K8vZ9179fE7,0
G5vzZ_oC9PEHy,K8vZ917KkOf,0
rZ7HnEZ1A4ZYfd,K8vZ917qPA0,0
rZ7HnEZ1A4vkxd,K8vZ917Q_e0,0
G5vzZ_6R2VrkQ,K8vZ9174G2V,0
rZ7HnEZ1AfJd4d,K8vZ9175sMf,0
rZ7HnEZ1AfJd4d,K8vZ9175BpV,1
rZ7HnEZ1AfJdbd,K8vZ9175sMf,0
rZ7HnEZ1AfJdbd,K8vZ9175BpV,1
rZ7HnEZ1AfJd0K,K8vZ9175sMf,0
rZ7HnEZ1AfJd0K,K8vZ9175BpV,1
rZ7HnEZ1AfJ7FN,K8vZ9175sMf,0
rZ7HnEZ1AfJ7FN,K8vZ9175BpV,1
G5vzZ_eBFhgxE,K8vZ917fxh0,0
G5vzZ_eBFhgxE,K8vZ917pNP0,1
G5vzZ_eBFhgxE,K8vZ91711Yf,2
G5vzZ_eBFhgxE,K8vZ9171f6V,3
G5vzZ_eBFhgxE,K8vZ917oqmf,4
G5vzZ_eBFhgxE,K8vZ91792mV,5
G5vzZ_eBFhgxE,K8vZ917oK20,6
G5vzZ_eBFhgxE,K8vZ9178Ucf,7
G5vzZ_eBFhgxE,K8vZ9172VO7,8
G5vzZ_eBFhgxE,K8vZ91718uV,9
G5vzZ_eBFhgxE,K8vZ917baSV,10
G5vzZ_eBFhgxE,K8vZ91714j7,11
G5vzZ_eBFhgxE,K8vZ917hZ20,12
G5vzZ_eBFhgxE,K8vZ9175dFV,13
G5vzZ_eBFhgxE,K8vZ917o1J0,14
G5vzZ_eBFhgxE,K8vZ917_Se7,15
G5vzZ_eBFhgxE,K8vZ917hzF7,16
G5vzZ_eBFhgxE,K8vZ917h2P7,17
G5vzZ_eBFhgxE,K8vZ917318f,18
G5vzZ_eBFhgxE,K8vZ917GXW0,19
G5vzZ_eBFhgxE,K8vZ917jjyV,20
G5vzZ_eBFhgxE,K8vZ917hyCf,21
G5vzZ_eBFhgxE,K8vZ9174hj7,22
rZ7HnEZ1AfJdfN,K8vZ9175sMf,0
rZ7HnEZ1AfJdfN,K8vZ9175BpV,1
rZ7HnEZ1AfJd_K,K8vZ9175sMf,0
