event_id,observed_at,status,price_min,price_max,lineup_size,days_until
rZ7HnEZ1AfAKA0,2026-09-20T22:44:16.502003+00:00,offsale,16.56,16.56,0,-4
rZ7HnEZ1A4Zajd,2026-09-20T22:44:16.502003+00:00,offsale,20.03,41.13,0,-4
G5vzZ_2XrhjsN,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-3
Z7r9jZ1A7q3uJ,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-3
G5vzZ_ajd-Wwq,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-3
G5vzZ_o1_qy5p,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-3
Z7r9jZ1A7-bGS,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-3
Z7r9jZ1A7J4uJ,2026-09-20T22:44:16.502003+00:00,onsale,,,3,-3
Z7r9jZ1A7Pw4P,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-3
Z7r9jZ1AAZw_0,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-3
rZ7HnEZ1AfZU0V,2026-09-20T22:44:16.502003+00:00,onsale,8.73,8.73,0,-3
G5vzZ_eBF3P-E,2026-09-20T22:44:16.502003+00:00,onsale,,,23,-2
G5vzZ_unyOJeF,2026-09-20T22:44:16.502003+00:00,onsale,,,3,-2
Z7r9jZ1A7PkFf,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-2
rZ7HnEZ1AfZUv7,2026-09-20T22:44:16.502003+00:00,onsale,14.13,14.13,0,-2
G5vzZ_6R2OX7y,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
G5vzZ_apbcp_b,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-2
Z7r9jZ1A709O7,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-2
Z7r9jZ1A7JfOp,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
Z7r9jZ1AAZ0ae,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-2
G5vzZ_6JR8axI,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
Z7r9jZ1A7-U7o,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
rZ7HnEZ1AfFyA0,2026-09-20T22:44:16.502003+00:00,onsale,24.15,24.15,0,-2
rZ7HnEZ1AfG3rf,2026-09-20T22:44:16.502003+00:00,onsale,,,0,-2
1718v0G6C7pA8VL,2026-09-20T22:44:16.502003+00:00,onsale,,,0,-2
G5vzZ_26zrFBp,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
G5vzZ_oC9PEHy,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
rZ7HnEZ1AfagaV,2026-09-20T22:44:16.502003+00:00,onsale,76.52,76.52,0,-2
rZ7HnEZ1A4Z-kd,2026-09-20T22:44:16.502003+00:00,onsale,24.95,24.95,0,-2
rZ7HnEZ1A4ZYfd,2026-09-20T22:44:16.502003+00:00,onsale,24.95,24.95,1,-2
rZ7HnEZ1A4vkxd,2026-09-20T22:44:16.502003+00:00,onsale,24.95,24.95,1,-2
rZ7HnEZ1Afapf7,2026-09-20T22:44:16.502003+00:00,onsale,29.95,29.95,0,-2
G5vzZ_6R2VrkQ,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-2
rZ7HnEZ1AfJd4d,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJdbd,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJd0K,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJ7FN,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
G5vzZ_eBFhgxE,2026-09-20T22:44:16.502003+00:00,onsale,,,23,-1
rZ7HnEZ1AfJdfN,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJd_K,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJdCd,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJdjd,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJdbN,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJd4N,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJ7FK,2026-09-20T22:44:16.502003+00:00,onsale,0.0,0.0,2,-1
rZ7HnEZ1AfJKeK,2026-09-20T22:44:16.502003+00:00,onsale,24.95,24.95,1,-1
G5vzZ_1Mp7mfl,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
G5vzZ_6mF-AVB,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
G5vzZ_G2aMr1J,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
G5vzZ_GtovGEe,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
Z7r9jZ1A70EFZ,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
rZ7HnEZ1AfZgfV,2026-09-20T22:44:16.502003+00:00,onsale,25.18,25.18,0,-1
G5vzZ_6R2ICAj,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
G5vzZ_ap_xkrD,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
Z7r9jZ1A709uE,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
1718v0G6CIoWv1H,2026-09-20T22:44:16.502003+00:00,onsale,,,0,-1
G5vzZ_1RgFc0g,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
G5vzZ_2KpMXP3,2026-09-20T22:44:16.502003+00:00,onsale,,,2,-1
G5vzZ_2RUvts1,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
Z7r9jZ1A70bOp,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
Z7r9jZ1AAZoZK,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
rZ7HnEZ1AfG3Of,2026-09-20T22:44:16.502003+00:00,onsale,,,0,-1
rZ7HnEZ1AfakuV,2026-09-20T22:44:16.502003+00:00,onsale,24.2,24.2,0,-1
G5vzZ_CE-Nq6Y,2026-09-20T22:44:16.502003+00:00,onsale,,,0,-1
Z7r9jZ1A7074z,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
Z7r9jZ1A7PK8V,2026-09-20T22:44:16.502003+00:00,onsale,,,1,-1
rZ7HnEZ1Af1vP0,2026-09-20T22:44:16.502003+00:00,offsale,71.18,71.18,0,-1
rZ7HnEZ1A4ZZOd,2026-09-20T22:44:16.502003+00:00,onsale,0.0,14.95,1,-1
rZ7HnEZ1AfkbPf,2026-09-20T22:44:16.502003+00:00,onsale,34.95,34.95,1,-1
rZ7HnEZ1AfJd8K,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJd_S,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJd0d,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJ7ad,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
G5vzZ_eBFPPNH,2026-09-20T22:44:16.502003+00:00,offsale,,,23,0
rZ7HnEZ1AfJdpd,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJdpK,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJdoN,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
G5vzZ_GNlcHg2,2026-09-20T22:44:16.502003+00:00,offsale,,,0,0
rZ7HnEZ1AfJdfK,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJdfd,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJdjN,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfJ7GK,2026-09-20T22:44:16.502003+00:00,offsale,0.0,0.0,2,0
rZ7HnEZ1AfZgAV,2026-09-20T22:44:16.502003+00:00,onsale,14.13,14.13,0,0
G5vzZ_F_W-f16,2026-09-20T22:44:16.502003+00:00,onsale,,,1,0
Z7r9jZ1A7PKPI,2026-09-20T22:44:16.502003+00:00,onsale,,,2,0
Z7r9jZ1A7-ZQ4,2026-09-20T22:44:16.502003+00:00,onsale,,,1,0
Z7r9jZ1A70gOF,2026-09-20T22:44:16.502003+00:00,onsale,,,1,0
G5vzZ_59NncqS,2026-09-20T22:44:16.502003+00:00,onsale,,,3,1
G5vzZ_CQuvdce,2026-09-20T22:44:16.502003+00:00,onsale,,,2,1
1Ae0Z_8Gkc8Oozp,2026-09-20T22:44:16.502003+00:00,onsale,,,1,1
