event_id,name,name_clean,headliner,venue,city,venue_canonical_id,local_date,weekday,status,genre_clean,subgenre_clean,is_electronic,is_duplicate,is_cancelled,dedup_group,lineup_size,lead_time_days,price_min,price_max
rZ7HnEZ1AfAKA0,Ladies Night 2026,ladies,,Stampede,Aurora,rZ7HnEZ173p1A,2026-09-16,3,offsale,Country,Country,0,0,0,36d1957260264ea1,0,218,16.56,16.56
rZ7HnEZ1A4Zajd,Shimmy Shakin' Blues,shimmy shakin blues,,La Rumba,Denver,rZ7HnEZ173pGP,2026-09-16,3,offsale,Other,,0,0,0,ee8e369bdf8bc539,0,44,20.03,41.13
G5vzZ_2XrhjsN,Lil Skies,lil skies,Lil Skies,Marquis,Denver,KovZpZAJeFkA,2026-09-17,4,onsale,Hip-Hop/Rap,Trap,0,0,0,80913c1c0f18b050,2,41,,
Z7r9jZ1A7q3uJ,Get the Led Out,get led out,Get the Led Out,Red Rocks Amphitheatre,Morrison,ZFr9jZe71a,2026-09-17,4,onsale,Rock,Classic Rock,0,0,0,9a97bfa9efca3e9e,1,300,,
G5vzZ_ajd-Wwq,TajMo: The Taj Mahal & Keb' Mo' Band: Room on the Porch Tour 2026,tajmo taj mahal keb mo band room on porch,TajMo: The Taj Mahal & Keb' Mo' Band,Paramount Theatre,Denver,KovZpZAFa1nA,2026-09-17,4,onsale,Blues,Blues,0,0,0,45d4622111731ad2,1,139,,
G5vzZ_o1_qy5p,Paramount Theatre Club Seating: TajMo:The Taj Mahal & Keb' Mo' Band,paramount theatre club seating tajmo taj mahal keb mo band,TajMo: The Taj Mahal & Keb' Mo' Band,Paramount Theatre,Denver,KovZpZAFa1nA,2026-09-17,4,onsale,Other,Other,0,1,0,45d4622111731ad2,1,28,,
Z7r9jZ1A7-bGS,Tab Benoit (16 and Over),tab benoit 16 over,Tab Benoit,Gothic Theatre,Englewood,ZFr9jZdde7,2026-09-17,4,onsale,Blues,Jazz Blues,0,0,0,274826e7d993d17f,2,46280,,
Z7r9jZ1A7J4uJ,Gym Class Heroes (16 and Over),gym class heroes 16 over,Gym Class Heroes,Mission Ballroom,Denver,Z7r9jZadVI,2026-09-17,4,onsale,Hip-Hop/Rap,Hip-Hop/Rap,0,0,0,498495b1a8114fef,3,46280,,
Z7r9jZ1A7Pw4P,The Black Queen,black queen,The Black Queen,The Federal Theatre,Denver,Z7r9jZakK6,2026-09-17,4,onsale,Dance/Electronic,Dance/Electronic,1,0,0,e042d17bca7d4e32,1,83,,
Z7r9jZ1AAZw_0,Built To Spill (Guests Under 18 Require Accompanying Adult),built to spill guests under 18 require accompanying adult,Built To Spill,Aggie Theater,Fort Collins,ZFr9jZkve6,2026-09-17,4,onsale,Alternative,Alternative Rock,0,0,0,16c890e9935a90f3,2,46280,,
rZ7HnEZ1AfZU0V,$5 Thursdays!,5 thursdays,,La Rumba,Denver,rZ7HnEZ173pGP,2026-09-17,4,onsale,World,Latin,0,0,0,79528224ee6027b5,0,258,8.73,8.73
G5vzZ_eBF3P-E,Telluride Blues & Brews Festival,telluride blues brews festival,Telluride Blues & Brews Festival,Telluride Town Park,Telluride,KovZpZAAla1A,2026-09-18,5,onsale,,,0,0,0,3fd684715d3a6ac2,23,247,,
G5vzZ_unyOJeF,Pallbearer,pallbearer,Pallbearer,Marquis,Denver,KovZpZAJeFkA,2026-09-18,5,onsale,Metal,Nu-Metal,0,0,0,e6e78cc6ff6d8592,3,79,,
Z7r9jZ1A7PkFf,Elephant Revival w/ Desert Dwellers,elephant revival w desert dwellers,Elephant Revival,Dillon Amphitheater,Dillon,Z7r9jZadqh,2026-09-18,5,onsale,Other,Other,1,0,0,e2b2f6da356654de,2,105,,
rZ7HnEZ1AfZUv7,Ladies Night & Noche Sonidera,ladies noche sonidera,,La Rumba,Denver,rZ7HnEZ173pGP,2026-09-18,5,onsale,World,Latin,0,0,0,588cfd881337dc03,0,259,14.13,14.13
G5vzZ_6R2OX7y,Billy Strings,billy strings,Billy Strings,Ball Arena,Denver,KovZpZAFaJeA,2026-09-18,5,onsale,Country,Bluegrass,0,1,0,58c51045df54bcd2,1,168,,
G5vzZ_apbcp_b,Club Level Seating: Billy Strings,club level seating billy strings,Billy Strings,Ball Arena,Denver,KovZpZAFaJeA,2026-09-18,5,onsale,Country,Bluegrass,0,0,0,58c51045df54bcd2,2,147,,
Z7r9jZ1A709O7,Lynyrd Skynyrd w/ 38 Special,lynyrd skynyrd w 38 special,Lynyrd Skynyrd,Blue Arena at The Ranch Events Complex,Loveland,ZFr9jZ7v1A,2026-09-18,5,onsale,Rock,Classic Rock,0,0,0,9ca9f49eada80287,2,46281,,
Z7r9jZ1A7JfOp,Get the Led Out,get led out,Get the Led Out,Community Concert Hall - FLC,Durango,Z7r9jZa7MS,2026-09-18,5,onsale,Rock,Classic Rock,0,0,0,71c4f45a28924c11,1,46281,,
Z7r9jZ1AAZ0ae,Lawrence with the Colorado Symphony,lawrence colorado symphony,Colorado Symphony Orchestra,Boettcher Hall,Denver,Z6r9jZdv1e,2026-09-18,5,onsale,Other,Other,0,0,0,cb4d056d300ff288,2,46281,,
G5vzZ_6JR8axI,Lily Allen Performs West End Girl,lily allen performs west end girl,Lily Allen,Red Rocks Amphitheatre,Morrison,ZFr9jZe71a,2026-09-18,5,onsale,Rock,Pop,0,0,0,cd961fed3cbe858a,1,168,,
Z7r9jZ1A7-U7o,Lily Allen Performs West End Girl,lily allen performs west end girl,Lily Allen,Red Rocks Amphitheatre,Morrison,ZFr9jZe71a,2026-09-18,5,onsale,Pop,Pop Rock,0,1,0,cd961fed3cbe858a,1,168,,
rZ7HnEZ1AfFyA0,TROUBADOUR BLUE,troubadour blue,,Grizzly Rose,Denver,rZ7HnEZ17uJbA,2026-09-18,5,onsale,Alternative,,0,0,0,7d9762efabc91b36,0,76,24.15,24.15
rZ7HnEZ1AfG3rf,"illFRAME, SleepMag",illframe sleepmag,,Vultures,Colorado Springs,rZ7HnEZ17fd1A,2026-09-18,5,onsale,Rock,Punk,0,0,0,47c42f9120890115,0,9,,
1718v0G6C7pA8VL,"House of Heavy: Nu-Metal, Alt-Metal. Metal-Core Party",house of heavy nu metal alt metal metal core party,,Black Sheep,Colorado Springs,KovZpZAJ77kA,2026-09-18,5,onsale,Dance/Electronic,Amapiano,1,0,0,d864911fa88cc205,0,73,,
G5vzZ_26zrFBp,Emo Nite - 21+,emo nite 21,Emo Nite,Summit Music Hall,Denver,KovZpZAFFt1A,2026-09-18,5,onsale,Rock,Pop,0,0,0,db32bdccf5336a31,1,56,,
G5vzZ_oC9PEHy,"LUSINE with headnod., Mr. Lang, and Temportal",lusine headnod mr lang temportal,Lusine,Ophelia's Electric Soapbox,Denver,KovZ917Aai0,2026-09-18,5,onsale,Dance/Electronic,Amapiano,1,0,0,fd17ac6c3e76cde3,1,30,,
rZ7HnEZ1AfagaV,JEANK CENTENO & RONAL URBINA EN CONCIERTO,jeank centeno ronal urbina en concierto,,Stampede,Aurora,rZ7HnEZ173p1A,2026-09-18,5,onsale,World,Vallenato,0,0,0,72edb74b93e54fd7,0,58,76.52,76.52
rZ7HnEZ1A4Z-kd,Space Jam: DXNBY,space jam dxnby,,The Basement at Club Vinyl,Denver,rZ7HnEZ17QA4S,2026-09-18,5,onsale,Dance/Electronic,House,1,0,0,f5434d77982ba9da,0,39,24.95,24.95
rZ7HnEZ1A4ZYfd,Electrik Seoul,electrik seoul,Electrik Seoul,Club Vinyl,Denver,rZ7HnEZ17qf40,2026-09-18,5,onsale,Dance/Electronic,Dance/Electronic,1,0,0,6a6bde609dab5d0b,1,37,24.95,24.95
rZ7HnEZ1A4vkxd,Two Shell,two shell,Two Shell,Club Vinyl,Denver,rZ7HnEZ17qf40,2026-09-18,5,onsale,Dance/Electronic,Techno,1,0,0,ef0c0c5aeed0f1e3,1,28,24.95,24.95
rZ7HnEZ1Afapf7,Ben Sterling,ben sterling,,The Church Nightclub,Denver,rZ7HnEZ17qf4V,2026-09-18,5,onsale,Dance/Electronic,Dance/Electronic,1,0,0,f42426a84944b7a4,0,66,29.95,29.95
G5vzZ_6R2VrkQ,"Billy Strings 2-Day Ticket (9/18-9/19) Valid Both Days, Cannot Split.",billy strings 2 day ticket 9 18 9 19 valid both days cannot split,Billy Strings,Ball Arena,Denver,KovZpZAFaJeA,2026-09-18,5,onsale,Country,Bluegrass,0,1,0,58c51045df54bcd2,1,168,,
rZ7HnEZ1AfJd4d,"Day Out With Thomas (TM), Thomas & Friends",day out thomas tm thomas friends,Day Out with Thomas,Colorado Railroad Museum,Golden,rZ7HnEZadSp,2026-09-19,6,onsale,Fairs & Festivals,Fairs & Festivals,0,0,0,9ffdb6a52ab5e847,2,60,0.0,0.0
rZ7HnEZ1AfJdbd,"Day Out With Thomas (TM), Thomas & Friends",day out thomas tm thomas friends,Day Out with Thomas,Colorado Railroad Museum,Golden,rZ7HnEZadSp,2026-09-19,6,onsale,Fairs & Festivals,Fairs & Festivals,0,1,0,9ffdb6a52ab5e847,2,60,0.0,0.0
