venue_id,name,city,state_code,country_code,address,postal_code,latitude,longitude,timezone,market,dma_id,url,fetched_at
ZFr9jZAFe7,Belly Up - Aspen,Aspen,CO,US,450 S Galena St,81611,39.125599,-106.797203,America/Denver,,264,,2026-09-20T22:44:03.900761+00:00
rZ7HnEZ173p1A,Stampede,Aurora,CO,US,2430 South Havana,80014,39.672363,-104.865271,America/Denver,,,https://www.ticketweb.com/venue/stampede-aurora-co/496285,2026-09-20T22:44:05.080653+00:00
Z7r9jZad-c,Stampede - Aurora,Aurora,CO,US,2430 S Havana St,80014,39.660801,-104.835403,America/Denver,,264,,2026-09-20T22:44:00.359625+00:00
KovZpZA1EakA,Mishawaka Amphitheatre,Bellvue,CO,US,13714 Poudre Canyon,80512,40.6831631,-105.3828413,America/Denver,Denver and More,248,https://www.ticketmaster.com/mishawaka-amphitheatre-tickets-bellvue/venue/245861,2026-09-20T22:44:02.205267+00:00
ZFr9jZ6vkF,Mishawaka Amphitheatre,Bellvue,CO,US,13714 Poudre Canyon,80512,40.614101,-105.519402,America/Denver,,264,,2026-09-20T22:44:02.205267+00:00
ZFr9jZdAk6,Boulder Theater,Boulder,CO,US,2032 14th St.,80302,40.040199,-105.362602,America/Denver,,264,,2026-09-20T22:44:03.417698+00:00
ZFr9jZdke6,Chautauqua Auditorium,Boulder,CO,US,900 Baseline Rd,80302,40.040199,-105.362602,America/Denver,,264,,2026-09-20T22:44:00.359625+00:00
Z6r9jZk1ee,Fox Theatre & Cafe,Boulder,CO,US,1135 13th St.,80303,39.973301,-105.195801,America/Denver,,264,,2026-09-20T22:44:03.417698+00:00
KovZpZAJ77kA,Black Sheep,Colorado Springs,CO,US,2106 E. Platte Ave.,80909,38.837156,-104.7892759,America/Denver,Denver and More,248,https://www.ticketmaster.com/black-sheep-tickets-colorado-springs/venue/337593,2026-09-20T22:44:05.657178+00:00
KovZpZAAlnvA,Black Sheep,Colorado Springs,CO,US,2106 E. Platte Ave,80909,38.8560908,-104.7812654,America/Denver,Denver and More,248,https://www.ticketmaster.com/black-sheep-tickets-colorado-springs/venue/246657,2026-09-20T22:44:05.657178+00:00
ZFr9jZAFk1,Black Sheep,Colorado Springs,CO,US,2106 E Platte Ave,80909,38.852001,-104.775398,America/Denver,,254,,2026-09-20T22:44:05.657178+00:00
ZFr9jZe1ve,Broadmoor World Arena,Colorado Springs,CO,US,3185 Venetucci Blvd.,80906,38.768398,-104.872101,America/Denver,,254,,2026-09-20T22:44:05.657178+00:00
KovZpZA1ll7A,Broadmoor World Arena,Colorado Springs,CO,US,3185 Venetucci Boulevard,80906,38.7847545,-104.7922099,America/Denver,Denver and More,248,https://www.ticketmaster.com/broadmoor-world-arena-tickets-colorado-springs/venue/246781,2026-09-20T22:44:03.900761+00:00
ZFr9jZde11,Falcon Stadium,Colorado Springs,CO,US,"2169 United States Afa,",80903,38.832001,-104.815697,America/Denver,,254,,2026-09-20T22:44:00.359625+00:00
Z7r9jZaA99,Ford Amphitheater,Colorado Springs,CO,US,95 Spectrum Loop,80921,39.0476,-104.819702,America/Denver,,254,,2026-09-20T22:44:01.382965+00:00
rZ7HnEZ17q300,New Life Church,Colorado Springs,CO,US,11025 Voyager Pkwy,80921,38.992766166751125,-104.7952960846555,America/Denver,,,https://www.ticketweb.com/venue/new-life-church-colorado-springs-co/752924,2026-09-20T22:44:02.205267+00:00
Z7r9jZaATV,Phil Long Music Hall at Bourbon Brothers,Colorado Springs,CO,US,13071 Bass Pro Drive,80921,39.0476,-104.819702,America/Denver,,254,,2026-09-20T22:44:04.466759+00:00
ZFr9jZe777,Pikes Peak Center,Colorado Springs,CO,US,190 S. Cascade Ave.,80903,38.832001,-104.815697,America/Denver,,254,,2026-09-20T22:44:06.065368+00:00
KovZpZA1el1A,Pikes Peak Center,Colorado Springs,CO,US,190 South Cascade Ave,80903,38.830498,-104.826007,America/Denver,Denver and More,248,https://www.ticketmaster.com/pikes-peak-center-tickets-colorado-springs/venue/245778,2026-09-20T22:44:00.359625+00:00
Z7r9jZadCK,Sunshine Studios,Colorado Springs,CO,US,3970 Clear View Frontage Rd.,80911,38.7481,-104.708199,America/Denver,,254,,2026-09-20T22:44:02.205267+00:00
rZ7HnEZ17fd1A,Vultures,Colorado Springs,CO,US,2100 E Platte Ave,80909,38.8372852,-104.7899982,America/Denver,,,https://www.ticketweb.com/venue/vultures-colorado-springs-co/503285,2026-09-20T22:44:04.466759+00:00
KovZpZAJdAvA,What's Left Records,Colorado Springs,CO,US,2217 E. Platte Ave ,80909,40.752789,-73.983745,America/Denver,Denver and More,248,https://www.ticketmaster.com/whats-left-records-tickets-colorado-springs/venue/337524,2026-09-20T22:44:03.417698+00:00
rZ7HnEZ17q_Qf,Whiskey Rose,Colorado Springs,CO,US,5781 N Academy Blvd,80918,38.914909049632,-104.78605751718,America/Denver,,,https://www.ticketweb.com/venue/whiskey-rose-colorado-springs-co/759694,2026-09-20T22:44:04.466759+00:00
KovZpZAFaJeA,Ball Arena,Denver,CO,US,1000 Chopper Circle,80204,39.74724,-105.010166,America/Denver,Denver and More,200,https://www.ticketmaster.com/ball-arena-tickets-denver/venue/246112,2026-09-20T22:44:06.065368+00:00
KovZpaKBBe,Bellco Theatre,Denver,CO,US,700 14th Street,80202,39.742192,-104.99628,America/Denver,Denver and More,248,https://www.ticketmaster.com/bellco-theatre-tickets-denver/venue/246570,2026-09-20T22:44:03.417698+00:00
ZFr9jZ76Ak,Bellco Theatre,Denver,CO,US,700 14th St,80202,39.751202,-104.997498,America/Denver,,264,,2026-09-20T22:44:05.080653+00:00
Z6r9jZdvee,Bluebird Theatre,Denver,CO,US,3317 E. Colfax Avenue,80206,39.733299,-104.9524,America/Denver,,264,,2026-09-20T22:44:04.466759+00:00
Z6r9jZdv1e,Boettcher Hall,Denver,CO,US,1000 14th Street,80202,39.751202,-104.997498,America/Denver,,264,,2026-09-20T22:44:06.065368+00:00
ZFr9jZe6Fe,Buell Theatre,Denver,CO,US,1350 Curtis Street,80204,39.735001,-105.020401,America/Denver,,264,,2026-09-20T22:44:04.466759+00:00
ZFr9jZkk1d,Cervantes Masterpiece Ballroom,Denver,CO,US,2637 Welton St,80205,39.760502,-104.965698,America/Denver,,264,,2026-09-20T22:44:03.900761+00:00
Z7r9jZadXe,Cervantes Other Side,Denver,CO,US,2637 Welton Street,80205,39.760502,-104.965698,America/Denver,,264,,2026-09-20T22:44:00.359625+00:00
rZ7HnEZ17qf40,Club Vinyl,Denver,CO,US,1082 Broadway,80203,39.73355,-104.98706,America/Denver,,,https://www.ticketweb.com/venue/club-vinyl-denver-co/754564,2026-09-20T22:44:04.466759+00:00
KovZpa3Wne,Empower Field At Mile High,Denver,CO,US,1701 Bryant St.,80204,39.743853,-105.020127,America/Denver,Denver and More,248,https://www.ticketmaster.com/empower-field-at-mile-high-tickets-denver/venue/246376,2026-09-20T22:44:06.585672+00:00
KovZpZAE6eJA,Fillmore Auditorium (Denver),Denver,CO,US,1510 Clarkson,80218,39.740611,-104.977194,America/Denver,Denver and More,248,https://www.ticketmaster.com/fillmore-auditorium-denver-tickets-denver/venue/246097,2026-09-20T22:44:05.657178+00:00
ZFr9jZ7eA1,Gates Concert Hall,Denver,CO,US,,80208,39.6782,-104.962502,America/Denver,,264,,2026-09-20T22:44:05.336677+00:00
rZ7HnEZ17uJbA,Grizzly Rose,Denver,CO,US,5450 North Valley Highway,80216,39.801679,-104.986439,America/Denver,,,https://www.ticketweb.com/venue/grizzly-rose-denver-co/366605,2026-09-20T22:44:04.466759+00:00
Z6r9jZ6FFe,Grizzly Rose - CO,Denver,CO,US,5450 N Valley Hwy,80216,39.7896,-104.9422,America/Denver,,264,,2026-09-20T22:44:02.205267+00:00
KovZ917ARbC,HQ,Denver,CO,US,60 South Broadway,80209,39.71557,-104.98719,America/Denver,Denver and More,248,https://www.ticketmaster.com/hq-tickets-denver/venue/247098,2026-09-20T22:44:02.588228+00:00
Z7r9jZa7h0,HQ Denver,Denver,CO,US,60 S Broadway,80209,39.706001,-104.965202,America/Denver,,264,,2026-09-20T22:44:02.588228+00:00
KovZpZAE7I1A,Hi-Dive,Denver,CO,US,7 S. Broadway,80209,39.716329,-104.987852,America/Denver,Denver and More,248,https://www.ticketmaster.com/hidive-tickets-denver/venue/246829,2026-09-20T22:44:00.359625+00:00
Z7r9jZadmE,Hi-Dive - Denver,Denver,CO,US,7 S Broadway,80223,39.695801,-105.001503,America/Denver,,264,,2026-09-20T22:44:02.205267+00:00
KovZ917AI2V,JUNKYARD,Denver,CO,US,2323 W. Mulberry Pl,80204,39.73246,-105.01428,America/Denver,Denver and More,248,https://www.ticketmaster.com/junkyard-tickets-denver/venue/247006,2026-09-20T22:44:02.205267+00:00
rZ7HnEZ173pGP,La Rumba,Denver,CO,US,99 W 9th Ave,80204,39.73059,-104.98857,America/Denver,,,https://www.ticketweb.com/venue/la-rumba-denver-co/496325,2026-09-20T22:44:04.817229+00:00
KovZpZAJeFkA,Marquis,Denver,CO,US,2009 Larimer St,80205,39.753332,-104.992516,America/Denver,Denver and More,248,https://www.ticketmaster.com/marquis-tickets-denver/venue/246629,2026-09-20T22:44:05.657178+00:00
Z7r9jZa7j5,Meow Wolf  Denver Convergence Station,Denver,CO,US,1338 1st St,80204,39.735001,-105.020401,America/Denver,,264,,2026-09-20T22:44:04.817229+00:00
KovZ917AYbY,Meow Wolf Denver,Denver,CO,US,1338 1st Street,80204,39.74099,-105.01558,America/Denver,Denver and More,248,https://www.ticketmaster.com/meow-wolf-denver-tickets-denver/venue/247113,2026-09-20T22:44:05.336677+00:00
Z7r9jZadVI,Mission Ballroom,Denver,CO,US,4242 Wynkoop St,80216,39.7896,-104.9422,America/Denver,,264,,2026-09-20T22:44:05.657178+00:00
ZFr9jZedde,Ogden Theatre,Denver,CO,US,935 E. Colfax Ave.,80218,39.731201,-104.970901,America/Denver,,264,,2026-09-20T22:44:05.336677+00:00
KovZ917Aai0,Ophelia's Electric Soapbox,Denver,CO,US,1215 20th St,80202,39.752619,-104.991973,America/Denver,Denver and More,248,https://www.ticketmaster.com/ophelias-electric-soapbox-tickets-denver/venue/246856,2026-09-20T22:44:04.466759+00:00
KovZpaprpe,Oriental Theater,Denver,CO,US,4335 W. 44th Ave.,80212,39.7766712,-105.0434492,America/Denver,Denver and More,248,https://www.ticketmaster.com/oriental-theater-tickets-denver/venue/246716,2026-09-20T22:44:02.205267+00:00
ZFr9jZe1Av,Oriental Theatre-CO,Denver,CO,US,4335 W. 44th Ave.,80212,39.775002,-105.049004,America/Denver,,264,,2026-09-20T22:44:02.205267+00:00
KovZpZAFa1nA,Paramount Theatre,Denver,CO,US,1621 Glenarm,80202,39.744362,-104.990271,America/Denver,Denver and More,248,https://www.ticketmaster.com/paramount-theatre-tickets-denver/venue/245776,2026-09-20T22:44:05.657178+00:00
Z7r9jZa7cI,ReelWorks Denver,Denver,CO,US,1399 35th St,80205,39.760502,-104.965698,America/Denver,,264,,2026-09-20T22:44:05.080653+00:00
KovZ917Aig0,Skylark Lounge,Denver,CO,US,140 S Broadway,80209,39.71452,-104.98718,America/Denver,Denver and More,248,https://www.ticketmaster.com/skylark-lounge-tickets-denver/venue/247044,2026-09-20T22:44:03.417698+00:00
KovZpZAFFt1A,Summit Music Hall,Denver,CO,US,1902 Blake St,80202,39.75333786,-104.99507141,America/Denver,Denver and More,248,https://www.ticketmaster.com/summit-music-hall-tickets-denver/venue/246789,2026-09-20T22:44:06.065368+00:00
rZ7HnEZ17QA4S,The Basement at Club Vinyl,Denver,CO,US,1082 Broadway,80203,39.73355,-104.98706,America/Denver,,,https://www.ticketweb.com/venue/the-basement-at-club-vinyl-denver-co/685573,2026-09-20T22:44:04.466759+00:00
rZ7HnEZ17qf4V,The Church Nightclub,Denver,CO,US,1160 Lincoln St,80203,39.73504,-104.98574,America/Denver,,,https://www.ticketweb.com/venue/the-church-nightclub-denver-co/754574,2026-09-20T22:44:03.900761+00:00
Z7r9jZakK6,The Federal Theatre,Denver,CO,US,3830 Federal Blvd,80211,39.766998,-105.020103,America/Denver,,264,,2026-09-20T22:44:04.466759+00:00
KovZ917AVFY,The Federal Theatre,Denver,CO,US,3830 Federal Blvd.,80211,39.77008,-105.02514,America/Denver,Denver and More,248,https://www.ticketmaster.com/the-federal-theatre-tickets-denver/venue/247171,2026-09-20T22:44:03.417698+00:00
rZ7HnEZ17r_qV,The Rooftop at Vinyl,Denver,CO,US,1082 Broadway,80203,39.73355,-104.98706,America/Denver,,,https://www.ticketweb.com/venue/the-rooftop-at-vinyl-denver-co/799774,2026-09-20T22:44:01.382965+00:00
